Typ,Instanzindex,Anzahl_Items,Bin_Kapazitaet,LB,HC,Bins_beyond_LB,Hit_LB,Iteration,elapsed_time
uniform,7,500,150,196,199,3,0,7,0.34112143099991954
uniform,7,500,150,196,199,3,0,8,0.3864910669999517
uniform,7,500,150,196,199,3,0,9,0.43164021799930197
uniform,7,500,150,196,199,3,0,10,0.47940652099987346
uniform,7,500,150,196,199,3,0,11,0.5233165839999856
uniform,7,500,150,196,199,3,0,12,0.5665656529999978
uniform,7,500,150,196,199,3,0,13,0.6088928299996041
uniform,7,500,150,196,198,2,0,14,0.6514658729993243
uniform,7,500,150,196,198,2,0,15,0.6948239670000476
uniform,7,500,150,196,198,2,0,16,0.7396321959995475
uniform,7,500,150,196,198,2,0,17,0.7870839099996374
uniform,7,500,150,196,198,2,0,18,0.8342443880001156
uniform,7,500,150,196,198,2,0,19,0.8789172899996629
uniform,7,500,150,196,198,2,0,20,0.936396584999784
uniform,7,500,150,196,198,2,0,21,0.9857329239994215
uniform,7,500,150,196,198,2,0,22,1.0298430269995151
uniform,8,250,150,103,104,1,0,1,0.021857671000361734
uniform,8,250,150,103,104,1,0,2,0.038377280000531755
uniform,8,250,150,103,104,1,0,3,0.05827322000004642
uniform,8,250,150,103,104,1,0,4,0.07368591700014804
uniform,8,250,150,103,104,1,0,5,0.08916484100063826
uniform,8,250,150,103,104,1,0,6,0.10301424499994027
uniform,8,250,150,103,104,1,0,7,0.11938053100038815
uniform,8,250,150,103,104,1,0,8,0.13312150300043868
uniform,8,250,150,103,104,1,0,9,0.15026216300066153
uniform,8,250,150,103,104,1,0,10,0.16797675100042397
uniform,8,250,150,103,104,1,0,11,0.18492633400001068
uniform,8,250,150,103,104,1,0,12,0.20011411900031817
uniform,8,250,150,103,104,1,0,13,0.21468791700044676
uniform,8,250,150,103,104,1,0,14,0.23441138900034275
uniform,8,250,150,103,104,1,0,15,0.2550940430000992
uniform,8,250,150,103,104,1,0,16,0.2694509080001808
uniform,8,250,150,103,104,1,0,17,0.2856134430003294
uniform,8,250,150,103,104,1,0,18,0.3029236940001283
uniform,8,250,150,103,104,1,0,19,0.3180103410004449
uniform,8,250,150,103,104,1,0,20,0.3336442290001287
uniform,8,250,150,103,104,1,0,21,0.35249429600025906
uniform,8,250,150,103,104,1,0,22,0.368533951000245
uniform,8,250,150,103,104,1,0,23,0.38394977200005087
uniform,8,250,150,103,104,1,0,24,0.4017637830002059
uniform,8,250,150,103,104,1,0,25,0.4160333180007001
uniform,8,250,150,103,104,1,0,26,0.43300295200060646
uniform,8,250,150,103,104,1,0,27,0.45016216300064116
uniform,8,250,150,103,104,1,0,28,0.4641886549998162
uniform,8,250,150,103,104,1,0,29,0.4816267070000322
uniform,8,250,150,103,104,1,0,30,0.49663723899993784
uniform,8,250,150,103,104,1,0,31,0.5110317030002989
uniform,8,250,150,103,104,1,0,32,0.5257175220003774
uniform,8,250,150,103,104,1,0,33,0.5397751820000849
uniform,8,250,150,103,104,1,0,34,0.5534188550000181
uniform,8,250,150,103,104,1,0,35,0.5672573570000168
uniform,8,250,150,103,104,1,0,36,0.585656760999882
uniform,8,250,150,103,104,1,0,37,0.5995575690003534
uniform,8,250,150,103,104,1,0,38,0.6123131459999058
uniform,8,250,150,103,104,1,0,39,0.6250778070007073
uniform,8,250,150,103,104,1,0,40,0.6372780540004896
uniform,8,250,150,103,104,1,0,41,0.6533114880003268
uniform,8,250,150,103,104,1,0,42,0.6700040870000521
uniform,8,250,150,103,104,1,0,43,0.6842556850006076
uniform,8,250,150,103,104,1,0,44,0.698737235000408
uniform,8,250,150,103,104,1,0,45,0.7128576670002076
uniform,8,250,150,103,104,1,0,46,0.7311729150005704
uniform,8,250,150,103,104,1,0,47,0.7482337970004664
uniform,8,250,150,103,104,1,0,48,0.765412393000588
uniform,8,250,150,103,104,1,0,49,0.7841551350002192
uniform,8,250,150,103,104,1,0,50,0.7986237230006736
uniform,8,250,150,103,104,1,0,51,0.81281340500027
uniform,8,250,150,103,104,1,0,52,0.8291636929998276
uniform,8,250,150,103,104,1,0,53,0.8439055429998916
uniform,8,250,150,103,104,1,0,54,0.8590502560000459
uniform,8,250,150,103,104,1,0,55,0.8749394760006908
uniform,8,250,150,103,104,1,0,56,0.8901690620004956
uniform,8,250,150,103,104,1,0,57,0.9047072700004719
uniform,8,250,150,103,104,1,0,58,0.9191874690004624
uniform,8,250,150,103,104,1,0,59,0.9404539189999923
uniform,8,250,150,103,104,1,0,60,0.9548623250002493
uniform,8,250,150,103,104,1,0,61,0.9724490850003349
uniform,8,250,150,103,104,1,0,62,0.9880442430003313
uniform,8,250,150,103,104,1,0,63,1.0026761919998535
uniform,9,250,150,101,102,1,0,1,0.024508148000677465
uniform,9,250,150,101,102,1,0,2,0.04014029300014954
uniform,9,250,150,101,102,1,0,3,0.054181905000405095
uniform,9,250,150,101,102,1,0,4,0.07124953400034428
uniform,9,250,150,101,102,1,0,5,0.08639929900073184
uniform,9,250,150,101,102,1,0,6,0.10084201100016799
uniform,9,250,150,101,102,1,0,7,0.11638070600020001
uniform,9,250,150,101,102,1,0,8,0.13377627299996675
uniform,9,250,150,101,102,1,0,9,0.14967783500014775
uniform,9,250,150,101,102,1,0,10,0.16427254700010963
uniform,9,250,150,101,102,1,0,11,0.1801748600000792
uniform,9,250,150,101,102,1,0,12,0.1968898140003148
uniform,9,250,150,101,102,1,0,13,0.2107604540005923
uniform,9,250,150,101,102,1,0,14,0.22344411900030536
uniform,9,250,150,101,102,1,0,15,0.23566232700068213
uniform,9,250,150,101,102,1,0,16,0.24777958600043348
uniform,9,250,150,101,102,1,0,17,0.26010992500050634
uniform,9,250,150,101,102,1,0,18,0.2723032419999072
uniform,9,250,150,101,102,1,0,19,0.2898582150000948
uniform,9,250,150,101,102,1,0,20,0.30647162400055095
uniform,9,250,150,101,102,1,0,21,0.3219588410001961
uniform,9,250,150,101,102,1,0,22,0.3395472090005569
uniform,9,250,150,101,102,1,0,23,0.35619730500002333
uniform,9,250,150,101,102,1,0,24,0.3705077740005436
uniform,9,250,150,101,102,1,0,25,0.38831112800016854
uniform,9,250,150,101,102,1,0,26,0.40318252999986726
uniform,9,250,150,101,102,1,0,27,0.41573358200002986
uniform,9,250,150,101,102,1,0,28,0.4313986360002673
uniform,9,250,150,101,102,1,0,29,0.44683868599986454
uniform,9,250,150,101,102,1,0,30,0.45898513000065577
uniform,9,250,150,101,102,1,0,31,0.471272916000089
uniform,9,250,150,101,102,1,0,32,0.48393811300047673
uniform,9,250,150,101,102,1,0,33,0.496820974000002
uniform,9,250,150,101,102,1,0,34,0.511462522000329
uniform,9,250,150,101,102,1,0,35,0.5290303299998413
uniform,9,250,150,101,102,1,0,36,0.5457029850003892
uniform,9,250,150,101,102,1,0,37,0.5596021920000567
uniform,9,250,150,101,102,1,0,38,0.5761835470002552
uniform,9,250,150,101,102,1,0,39,0.592202733000704
uniform,9,250,150,101,101,0,1,40,0.6073459879999064
uniform,10,120,150,49,49,0,1,1,0.007115131000318797
uniform,11,250,150,105,107,2,0,1,0.028960747999917658
uniform,11,250,150,105,107,2,0,2,0.04714835600043443
uniform,11,250,150,105,107,2,0,3,0.06602106500031368
uniform,11,250,150,105,107,2,0,4,0.0851751840000361
uniform,11,250,150,105,107,2,0,5,0.10315164599978743
uniform,11,250,150,105,107,2,0,6,0.12154629300039232
uniform,11,250,150,105,107,2,0,7,0.14063245299985283
uniform,11,250,150,105,107,2,0,8,0.16067565200046374
uniform,11,250,150,105,107,2,0,9,0.17950045999987196
uniform,11,250,150,105,107,2,0,10,0.1981671470002766
uniform,11,250,150,105,107,2,0,11,0.21850831000028847
uniform,11,250,150,105,107,2,0,12,0.23765255600028468
uniform,11,250,150,105,107,2,0,13,0.25779753000006167
uniform,11,250,150,105,107,2,0,14,0.27584659500007547
uniform,11,250,150,105,107,2,0,15,0.2980653340000572
uniform,11,250,150,105,107,2,0,16,0.31909858100061683
uniform,11,250,150,105,107,2,0,17,0.33852827300052013
uniform,11,250,150,105,107,2,0,18,0.35580137400029344
uniform,11,250,150,105,107,2,0,19,0.37759122799980105
uniform,11,250,150,105,107,2,0,20,0.3939914740003587
uniform,11,250,150,105,107,2,0,21,0.4124755000002551
uniform,11,250,150,105,107,2,0,22,0.4327447380001104
uniform,11,250,150,105,107,2,0,23,0.4531901079999443
uniform,11,250,150,105,107,2,0,24,0.4720739029999095
uniform,11,250,150,105,107,2,0,25,0.49265582699990773
uniform,11,250,150,105,107,2,0,26,0.5136014750005415
uniform,11,250,150,105,107,2,0,27,0.5299486780004372
uniform,11,250,150,105,107,2,0,28,0.5508384989998376
uniform,11,250,150,105,107,2,0,29,0.573551112000132
uniform,11,250,150,105,107,2,0,30,0.5923547330003203
uniform,11,250,150,105,107,2,0,31,0.610281913000108
uniform,11,250,150,105,107,2,0,32,0.6312082320000627
uniform,11,250,150,105,107,2,0,33,0.6519845319999149
uniform,11,250,150,105,107,2,0,34,0.6756874809998408
uniform,11,250,150,105,107,2,0,35,0.7010654639998393
uniform,11,250,150,105,107,2,0,36,0.7241589240002213
uniform,11,250,150,105,107,2,0,37,0.7462097980005638
uniform,11,250,150,105,107,2,0,38,0.7682562649997635
uniform,11,250,150,105,107,2,0,39,0.7879137380004977
uniform,11,250,150,105,107,2,0,40,0.8100888489998397
uniform,11,250,150,105,107,2,0,41,0.8295126370003345
uniform,11,250,150,105,107,2,0,42,0.853703501000382
uniform,11,250,150,105,107,2,0,43,0.8782727739999245
uniform,11,250,150,105,107,2,0,44,0.9007282590000614
uniform,11,250,150,105,107,2,0,45,0.9235063880005328
uniform,11,250,150,105,107,2,0,46,0.9434283529999448
uniform,11,250,150,105,107,2,0,47,0.9636600570001974
uniform,11,250,150,105,107,2,0,48,0.9874996120006472
uniform,11,250,150,105,107,2,0,49,1.009922713999913
uniform,12,250,150,105,106,1,0,1,0.03428156500012847
uniform,12,250,150,105,106,1,0,2,0.060267166999437904
uniform,12,250,150,105,106,1,0,3,0.0838060679998307
uniform,12,250,150,105,106,1,0,4,0.1079094750002696
uniform,12,250,150,105,106,1,0,5,0.1300682239998423
uniform,12,250,150,105,106,1,0,6,0.1526979009995557
uniform,12,250,150,105,106,1,0,7,0.17313181400004396
uniform,12,250,150,105,106,1,0,8,0.19987577800020517
uniform,12,250,150,105,106,1,0,9,0.2209117949996653
uniform,12,250,150,105,106,1,0,10,0.24358243699953164
uniform,12,250,150,105,106,1,0,11,0.26817728799960605
uniform,12,250,150,105,106,1,0,12,0.2946378429996912
uniform,12,250,150,105,106,1,0,13,0.313276961000156
uniform,12,250,150,105,106,1,0,14,0.33650506799949653
uniform,12,250,150,105,106,1,0,15,0.361927537000156
uniform,12,250,150,105,106,1,0,16,0.38362546999996994
uniform,12,250,150,105,106,1,0,17,0.404769431999739
uniform,12,250,150,105,106,1,0,18,0.42546826299985696
uniform,12,250,150,105,106,1,0,19,0.4516707689999748
uniform,12,250,150,105,106,1,0,20,0.47260359699976107
uniform,12,250,150,105,106,1,0,21,0.494318660999852
uniform,12,250,150,105,106,1,0,22,0.5128233300001739
uniform,12,250,150,105,106,1,0,23,0.5361905740001021
uniform,12,250,150,105,106,1,0,24,0.5617075860000114
uniform,12,250,150,105,106,1,0,25,0.5828732649997619
uniform,12,250,150,105,106,1,0,26,0.6065310209996824
uniform,12,250,150,105,106,1,0,27,0.6298348740001529
uniform,12,250,150,105,106,1,0,28,0.652814309999485
uniform,12,250,150,105,106,1,0,29,0.6787870850002946
uniform,12,250,150,105,106,1,0,30,0.7012211239998578
uniform,12,250,150,105,106,1,0,31,0.7216046909998113
uniform,12,250,150,105,106,1,0,32,0.7475422890001937
uniform,12,250,150,105,106,1,0,33,0.7684368709997216
uniform,12,250,150,105,106,1,0,34,0.7886956989996179
uniform,12,250,150,105,106,1,0,35,0.8120856119994642
uniform,12,250,150,105,106,1,0,36,0.8365840389997174
uniform,12,250,150,105,106,1,0,37,0.8577423409997209
uniform,12,250,150,105,106,1,0,38,0.8809582909998426
uniform,12,250,150,105,106,1,0,39,0.9040802179997627
uniform,12,250,150,105,106,1,0,40,0.92709745799948
uniform,12,250,150,105,106,1,0,41,0.9539212230001795
uniform,12,250,150,105,106,1,0,42,0.9770029499995871
uniform,12,250,150,105,106,1,0,43,0.9973918300001969
uniform,13,1000,150,395,399,4,0,1,0.44561559800058603
uniform,13,1000,150,395,399,4,0,2,0.7084132420004607
uniform,13,1000,150,395,398,3,0,3,0.9074799960008022
uniform,13,1000,150,395,398,3,0,4,1.1662294660000043
uniform,14,500,150,201,204,3,0,1,0.1107289129995479
uniform,14,500,150,201,204,3,0,2,0.17382014299982984
uniform,14,500,150,201,204,3,0,3,0.22610535799958598
uniform,14,500,150,201,204,3,0,4,0.2866340439995838
uniform,14,500,150,201,204,3,0,5,0.35198279099950014
uniform,14,500,150,201,203,2,0,6,0.41962898499969015
