Typ,Instanzindex,Anzahl_Items,Bin_Kapazitaet,LB,HC,Bins_beyond_LB,Hit_LB,Iteration,elapsed_time
uniform,20,120,150,52,53,1,0,28,0.30154153800140193
uniform,20,120,150,52,53,1,0,29,0.3117471340010525
uniform,20,120,150,52,53,1,0,30,0.3219682560011279
uniform,20,120,150,52,53,1,0,31,0.331430463000288
uniform,20,120,150,52,53,1,0,32,0.34311786699981894
uniform,20,120,150,52,52,0,1,33,0.3529178850003518
uniform,21,1000,150,393,397,4,0,1,0.5096567019991198
uniform,21,1000,150,393,397,4,0,2,0.7289309040006628
uniform,21,1000,150,393,397,4,0,3,0.971995459000027
uniform,21,1000,150,393,397,4,0,4,1.2621679679996305
uniform,22,1000,150,411,416,5,0,1,0.47079922900047677
uniform,22,1000,150,411,416,5,0,2,0.7856077310007095
uniform,22,1000,150,411,416,5,0,3,1.0371649370008527
uniform,23,250,150,100,101,1,0,1,0.029980294000779395
uniform,23,250,150,100,101,1,0,2,0.059448177000376745
uniform,23,250,150,100,101,1,0,3,0.0826588609997998
uniform,23,250,150,100,101,1,0,4,0.10925024400057737
uniform,23,250,150,100,101,1,0,5,0.13918789200033643
uniform,23,250,150,100,101,1,0,6,0.170966652000061
uniform,23,250,150,100,101,1,0,7,0.1935387379999156
uniform,23,250,150,100,101,1,0,8,0.2157554750010604
uniform,23,250,150,100,101,1,0,9,0.24275163200036332
uniform,23,250,150,100,101,1,0,10,0.2658613220010011
uniform,23,250,150,100,101,1,0,11,0.28932241100119427
uniform,23,250,150,100,101,1,0,12,0.3355335800006287
uniform,23,250,150,100,101,1,0,13,0.3654964930010465
uniform,23,250,150,100,101,1,0,14,0.4107048330006364
uniform,23,250,150,100,101,1,0,15,0.4420064590012771
uniform,23,250,150,100,101,1,0,16,0.47174850500050525
uniform,23,250,150,100,101,1,0,17,0.4978822709999804
uniform,23,250,150,100,101,1,0,18,0.5321717269998771
uniform,23,250,150,100,101,1,0,19,0.5718816500011599
uniform,23,250,150,100,101,1,0,20,0.6015111630003958
uniform,23,250,150,100,101,1,0,21,0.631565612000486
uniform,23,250,150,100,101,1,0,22,0.6565602430000581
uniform,23,250,150,100,101,1,0,23,0.6844575240011181
uniform,23,250,150,100,101,1,0,24,0.7123931100013579
uniform,23,250,150,100,101,1,0,25,0.7392675530009001
uniform,23,250,150,100,101,1,0,26,0.767314990000159
uniform,23,250,150,100,101,1,0,27,0.7927670650005894
uniform,23,250,150,100,101,1,0,28,0.8231181930004823
uniform,23,250,150,100,101,1,0,29,0.8455821429997741
uniform,23,250,150,100,101,1,0,30,0.877823423999871
uniform,23,250,150,100,101,1,0,31,0.9059216250007012
uniform,23,250,150,100,101,1,0,32,0.9299820680007542
uniform,23,250,150,100,101,1,0,33,0.9555621220006287
uniform,23,250,150,100,101,1,0,34,0.9784227860000101
uniform,23,250,150,100,101,1,0,35,1.0073954360013886
uniform,24,250,150,100,101,1,0,1,0.03868909000084386
uniform,24,250,150,100,101,1,0,2,0.059050679999927524
uniform,24,250,150,100,101,1,0,3,0.08946443800050474
uniform,24,250,150,100,101,1,0,4,0.11345011100092961
uniform,24,250,150,100,101,1,0,5,0.1385975490011333
uniform,24,250,150,100,101,1,0,6,0.15786039100021299
uniform,24,250,150,100,101,1,0,7,0.18018940900037705
uniform,24,250,150,100,101,1,0,8,0.21556731900091108
uniform,24,250,150,100,100,0,1,9,0.24264476000098512
uniform,25,500,150,199,202,3,0,1,0.13103728099849832
uniform,25,500,150,199,202,3,0,2,0.2249026680001407
uniform,25,500,150,199,202,3,0,3,0.31165042700013146
